armenian,phonetic
"սրկ.","dcn."
"առաջնորդացըն","arachnortatsûn"
"ﬔրոց","mérots"
"առաջին","yév"
"լուսաւորչացըն՝","arachin"
"սըրբոց","loosavorchatsûn"
"թադէոսի","sûrpots"
"բարթողիմէոսի","tatéyosi"
"առաքելոցն","chr."
"գրիգորի","hishya"
"լուսաւորչին…եղիցի","dér"
"յիշատակ","yév"
"սուրբ","voghormya."
"պատարագս","dcn."
"աղաչեմք:","miyantsnatsélots"
"դպր.","sûrpots…yéghitsi"
"յիշեա","hishadag"
"տէր","soorp"
"ողորﬔա:","badaraks"
"սրկ.","chr."
"միանձնացելոց","hishya"
"սըրբոց...","dér"
"եղիցի","yév"
"յիշատակ","voghormya."
"սրկ.","dcn."
"թագաւորաց","takavorats"
"հաւատացելոց","havadatsélots"
"սըրբոցն`....","sûrpotsn..."
"եղիցի","yéghitsi"
"յիշատակ","hishadag"
"սուրբ","soorp"
"պատարագս","badaraks"
"աղաչեմք:","chr."
"դպր.","hishya"
"յիշեա","dér"
"տէր","yév"
"ողորﬔա:","voghormya."
"սրկ.","dcn."
"ընդհանուր","ûnthanoor"
"աﬔնայն","aménayn"
"հաւատացելոց","havadatsélots"
"արանց","arants"
"կանանց","yév"
"ծերոց","ganants"
"տըղայոց","dzérots"
"աﬔնայն","yév"
"չափու","chr."
"հասակի","hishya"
"հաւատով","dér"
"սըրբութեամբ","yév"
"քրիստոս","voghormya."
"նընջեցելոցն.","dcn."
"եղիցի","kohootyoon"
"յիշատակ","yév"
"սուրբ","parapanootyoon"
"պատարագս","madootsanémk"
"աղաչեմք:","kéz"
"դպր.","dér"
"յիշեա","asdvadz"
"տէր","dcn."
"ողորﬔա:","sovav"
"քհն.","shnorhya"
"եւս","ûzsér"
"առաւել","zhasdadootyoon"
"զեպիսկոպոսապետն","yév"
"զպատուական","zûghtsali"
"հայրապետն","zkhaghaghootyoon"
"սրկ.","dcn."
"աﬔնայն","yév"
"ուղղափառ","aménayn"
"եպիսկոպոսաց։","ooghapar"
"եպիսկոպոսապետին","yébisgobosats."
"ﬔրոյ","yév"
"պատուական","yébisgobosabédin"
"հայրապետին","méro"
"աﬔնայն","yév"
"հայոց","dcn."
"մեծի","yév"
"տանն","vijagis"
"կիլիկիոյ","paréchan"
"տեառըն","arachnortin"
"տեառըն","méro"
"(այս","dyarûn"
"անուն)","(ays"
"սըրբազնագոյն","anoon)"
"կաթողիկոսի.","sûrpazan"
"սրկ.","chr."
"վիճակիս","ûsd"
"բարեջան","aménayni"
"առ-աջնորդին","yév"
"ﬔրոյ","haghaks"
"տեառըն","aménétsoon."
"(այս","clb."
"անուն)","yév"
"սըրբազան","yéghitsi"
"արքեպիսկոպոսի.","voghormootyoon"
"քահանայիս","médzis"
"ըզպատարագըս","asdoodzo"
"մատուցանէ:","yév"
"դպր.","pûrgchis"
"ըստ","méro"
"աﬔնայնի","chr."
"յաղագս","amén."
"աﬔնեցուն:","yév"
"քհն.","ûnt"
"եղիցի","hokvooyt"
"ողորմութիւն","koom."
"ﬔծիս","dcn."
"աստուծոյ","yév"
"wրկչիս","yévûs"
"ﬔրոյ","khaghaghootyan"
"յիսուսի","ûzdér"
"քրիստոսի","aghachéstsook."
"ընդ","chr."
"ձեզ","dér"
"ընդ","voghormya."
"սրկ.","dcn."
"աﬔնայն","aménayn"
"սըրբովք","sûrpovk"
"զորըս","zorûs"
"յիշատակեցաք","hishadagétsak"
"եւըս","yévûs"
"առաւելապէս","aravélabés"
"ըզտէր","ûzdér"
"աղաչեսցուք:","chr."
"դպր.","dér"
"տէր","voghormya."
"ողորﬔա:","dcn."
"սրկ.","vasûn"
"վասըն","madootsyal"
"մատուցեալ","soorp"
"սուրբ","yév"
"աստուածային","asdvadzayin"
"անմահ","anmah"
"պատարագիս","badarakis"
"վերայ","vor"
"սըրբոյ","véra"
"սեղանոյս","chr."
"ըզտէր","dér"
"աղաչեսցուք:","voghormya."
"դպր.","dcn."
"տէր","vorbészi"
"ողորﬔա:","dér"
"սրկ.","asdvadz"
"որպէսզի","mér"
"տէր","vor"
"աստուած","ûngalav"
